index,latitude,longitude
84,40.453361,-79.957913
85,40.452942,-79.956694
86,40.454627,-79.960621
87,40.465602,-79.935889
88,40.4663,-79.935476
89,40.464749,-79.936442
90,40.467044,-79.935035
91,40.403305,-79.822897
92,40.400914,-79.817766
93,40.401772,-79.819274
94,40.401711,-79.819632
95,40.402552,-79.821087
96,40.395271,-79.805455
97,40.404772,-79.825691
98,40.402855,-79.822301
99,40.403263,-79.823211
100,40.39791,-79.813122
101,40.399453,-79.81543
102,40.399966,-79.816231
103,40.402465,-79.82138
104,40.395321,-79.806449
105,40.396613,-79.811139
106,40.402928,-79.821978
107,40.408014,-79.819737
108,40.485243,-79.799472
109,40.481461,-79.804732
110,40.427079,-79.939696
111,40.506701,-79.842993
112,40.506731,-79.842726
113,40.512352,-79.843259
114,40.508317,-79.842505
115,40.504958,-79.843257
116,40.504668,-79.84301
117,40.443451,-79.965005
118,40.443093,-79.965236
119,40.440978,-79.968041
120,40.440552,-79.968589
121,40.44448,-79.96362
122,40.444461,-79.963421
123,40.413188,-79.845313
124,40.41307,-79.84481
125,40.419769,-79.850458
126,40.426604,-79.862902
127,40.424665,-79.859114
128,40.42457,-79.859796
129,40.435554,-79.871769
130,40.431333,-79.864009
131,40.432086,-79.865042
132,40.422186,-79.854127
133,40.422102,-79.854761
134,40.417354,-79.848763
135,40.429564,-79.863444
136,40.429638,-79.863971
137,40.419972,-79.850134
138,40.435878,-79.871672
139,40.421012,-79.852537
140,40.425819,-79.861439
141,40.417139,-79.848163
142,40.41542,-79.8476
143,40.42689,-79.862655
144,40.421226,-79.85219
145,40.425596,-79.8618
146,40.437058,-79.87334
147,40.415661,-79.847248
148,40.465741,-79.938231
149,40.468299,-79.93823
150,40.466512,-79.938009
151,40.467229,-79.937847
152,40.421183,-79.895292
153,40.422972,-79.895934
154,40.394891,-79.804032
155,40.487719,-79.923463
156,40.487591,-79.920297
157,40.487277,-79.920297
158,40.487493,-79.921691
159,40.487851,-79.923329
160,40.487418,-79.921918
161,40.404385,-79.862188
162,40.405375,-79.863352
163,40.453883,-79.952952
164,40.455835,-79.942027
165,40.455938,-79.942299
166,40.454141,-79.949372
167,40.457492,-79.936887
168,40.457669,-79.935664
169,40.456748,-79.939432
170,40.456627,-79.939193
171,40.454084,-79.9519
172,40.453926,-79.951589
173,40.45445,-79.947604
174,40.454256,-79.947769
175,40.455042,-79.945228
176,40.454854,-79.945277
177,40.45402,-79.94913
178,40.43442,-79.924924
179,40.433657,-79.930759
180,40.433783,-79.930418
181,40.434553,-79.92344
182,40.433443,-79.932438
183,40.434768,-79.922172
184,40.435203,-79.919198
185,40.433845,-79.929287
186,40.434007,-79.928043
187,40.433596,-79.931912
188,40.433994,-79.929012
189,40.446059,-79.748735
190,40.445955,-79.747894
191,40.451914,-79.75505
192,40.441662,-79.742684
193,40.448516,-79.761032
194,40.440528,-79.742312
195,40.451744,-79.755178
196,40.441754,-79.743133
197,40.461169,-79.927508
198,40.460407,-79.927971
199,40.459279,-79.927597
200,40.46155,-79.927131
201,40.444936,-79.986233
202,40.444531,-79.987241
203,40.444303,-79.987305
204,40.433291,-79.914621
205,40.420868,-79.92744
206,40.428101,-79.916235
207,40.419725,-79.927421
208,40.422879,-79.927518
209,40.423113,-79.927667
210,40.422153,-79.927864
211,40.425406,-79.926595
212,40.430415,-79.915312
213,40.430799,-79.915302
214,40.432409,-79.915251
215,40.429399,-79.915562
216,40.428256,-79.930922
217,40.428194,-79.933783
218,40.4276,-79.936185
219,40.42666,-79.919079
220,40.421058,-79.927619
221,40.434215,-79.912239
222,40.422056,-79.927663
223,40.426277,-79.916909
224,40.428472,-79.931015
225,40.445527,-79.933121
226,40.444115,-79.938489
227,40.443991,-79.93833
228,40.445381,-79.934769
229,40.445224,-79.934888
230,40.444986,-79.936548
231,40.445472,-79.931826
232,40.445649,-79.931691
233,40.445343,-79.933401
234,40.444812,-79.936491
235,40.403594,-79.862672
236,40.403285,-79.862872
237,40.446438,-79.951769
238,40.444405,-79.950907
239,40.439773,-79.970476
240,40.440758,-79.974231
241,40.440674,-79.974146
242,40.440147,-79.976079
243,40.440682,-79.978264
244,40.440024,-79.976304
245,40.440628,-79.978455
246,40.394998,-79.839113
247,40.395128,-79.841504
